,发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度,事件编号
9851,2014-10-30 17:14:35,开,开,关,38°C,25%,48,17分钟,50°C,87
9852,2014-10-30 17:14:37,开,开,关,38°C,25%,50,16分钟,50°C,87
9853,2014-10-30 17:14:39,开,开,关,38°C,25%,48,16分钟,50°C,87
9854,2014-10-30 17:14:41,开,开,关,39°C,25%,50,15分钟,50°C,87
9855,2014-10-30 17:14:45,开,开,关,39°C,25%,47,15分钟,50°C,87
9856,2014-10-30 17:14:47,开,开,关,38°C,25%,48,17分钟,50°C,87
9857,2014-10-30 17:14:49,开,开,关,38°C,25%,47,16分钟,50°C,87
9858,2014-10-30 17:14:51,开,开,关,38°C,25%,48,16分钟,50°C,87
9859,2014-10-30 17:14:53,开,开,关,39°C,25%,47,15分钟,50°C,87
9860,2014-10-30 17:14:55,开,开,关,39°C,25%,48,15分钟,50°C,87
9861,2014-10-30 17:14:57,开,开,关,39°C,25%,47,15分钟,50°C,87
9862,2014-10-30 17:15:01,开,开,关,39°C,25%,40,15分钟,50°C,87
9863,2014-10-30 17:15:03,开,开,关,39°C,25%,41,15分钟,50°C,87
9864,2014-10-30 17:15:05,开,开,关,39°C,25%,36,15分钟,50°C,87
9865,2014-10-30 17:15:11,开,开,关,39°C,25%,35,15分钟,50°C,87
9866,2014-10-30 17:15:13,开,开,关,39°C,25%,37,15分钟,50°C,87
9867,2014-10-30 17:15:27,开,开,关,39°C,25%,41,15分钟,50°C,87
9868,2014-10-30 17:15:41,开,开,关,39°C,25%,41,14分钟,50°C,87
9869,2014-10-30 17:15:47,开,开,关,39°C,25%,40,14分钟,50°C,87
9870,2014-10-30 17:15:59,开,开,关,39°C,25%,41,14分钟,50°C,87
9871,2014-10-30 17:16:02,开,开,关,39°C,25%,36,14分钟,50°C,87
9872,2014-10-30 17:16:04,开,开,关,39°C,25%,30,14分钟,50°C,87
9873,2014-10-30 17:16:14,开,开,关,39°C,25%,28,14分钟,50°C,87
9874,2014-10-30 17:16:16,开,开,关,39°C,25%,27,14分钟,50°C,87
9875,2014-10-30 17:16:18,开,开,关,39°C,25%,30,14分钟,50°C,87
9876,2014-10-30 17:16:22,开,开,关,39°C,25%,28,14分钟,50°C,87
9877,2014-10-30 17:16:26,开,开,关,39°C,25%,30,14分钟,50°C,87
9878,2014-10-30 17:16:28,开,开,关,39°C,25%,28,14分钟,50°C,87
9879,2014-10-30 17:16:38,开,开,关,39°C,25%,28,13分钟,50°C,87
9880,2014-10-30 17:16:40,开,开,关,39°C,25%,30,13分钟,50°C,87
9881,2014-10-30 17:16:46,开,开,关,39°C,25%,28,13分钟,50°C,87
9882,2014-10-30 17:16:48,开,开,关,38°C,25%,28,17分钟,50°C,87
9883,2014-10-30 17:16:50,开,开,关,38°C,25%,28,16分钟,50°C,87
9884,2014-10-30 17:16:52,开,开,关,38°C,25%,30,16分钟,50°C,87
9885,2014-10-30 17:16:54,开,开,关,38°C,25%,28,16分钟,50°C,87
9886,2014-10-30 17:16:56,开,开,关,38°C,25%,30,16分钟,50°C,87
9887,2014-10-30 17:17:16,开,开,关,38°C,25%,28,16分钟,50°C,87
9888,2014-10-30 17:17:18,开,开,关,39°C,25%,27,15分钟,50°C,87
9889,2014-10-30 17:17:20,开,开,关,39°C,25%,30,15分钟,50°C,87
9890,2014-10-30 17:17:22,开,开,关,39°C,25%,27,15分钟,50°C,87
9891,2014-10-30 17:17:24,开,开,关,39°C,25%,28,15分钟,50°C,87
9892,2014-10-30 17:17:26,开,开,关,39°C,25%,30,15分钟,50°C,87
9893,2014-10-30 17:17:40,开,开,关,39°C,25%,28,15分钟,50°C,87
9894,2014-10-30 17:17:43,开,开,关,38°C,25%,28,17分钟,50°C,87
9895,2014-10-30 17:17:49,开,开,关,38°C,25%,28,16分钟,50°C,87
9896,2014-10-30 17:17:57,开,开,关,38°C,25%,28,16分钟,50°C,87
9897,2014-10-30 17:17:59,开,开,关,38°C,25%,30,16分钟,50°C,87
9898,2014-10-30 17:18:01,开,开,关,38°C,25%,28,16分钟,50°C,87
9899,2014-10-30 17:18:03,开,开,关,38°C,25%,27,16分钟,50°C,87
9900,2014-10-30 17:18:13,开,开,关,38°C,25%,28,16分钟,50°C,87
9901,2014-10-30 17:18:15,开,开,关,38°C,25%,30,16分钟,50°C,87
9902,2014-10-30 17:18:17,开,开,关,38°C,25%,28,16分钟,50°C,87
9903,2014-10-30 17:18:19,开,开,关,38°C,25%,27,16分钟,50°C,87
9904,2014-10-30 17:18:25,开,开,关,38°C,25%,28,16分钟,50°C,87
9905,2014-10-30 17:18:27,开,开,关,38°C,25%,30,16分钟,50°C,87
9906,2014-10-30 17:18:29,开,开,关,38°C,25%,27,16分钟,50°C,87
9907,2014-10-30 17:18:43,开,开,关,38°C,25%,28,16分钟,50°C,87
9908,2014-10-30 17:18:51,开,开,关,38°C,25%,28,15分钟,50°C,87
9909,2014-10-30 17:18:53,开,开,关,38°C,25%,30,15分钟,50°C,87
9910,2014-10-30 17:19:07,开,开,关,38°C,25%,28,15分钟,50°C,87
9911,2014-10-30 17:19:09,开,开,关,38°C,25%,30,15分钟,50°C,87
9912,2014-10-30 17:19:44,开,开,关,38°C,25%,28,15分钟,50°C,87
9913,2014-10-30 17:19:50,开,开,关,38°C,25%,28,14分钟,50°C,87
9914,2014-10-30 17:19:52,开,开,关,38°C,25%,30,14分钟,50°C,87
9915,2014-10-30 17:19:54,开,开,关,38°C,25%,27,14分钟,50°C,87
9916,2014-10-30 17:20:24,开,开,关,38°C,25%,28,14分钟,50°C,87
9917,2014-10-30 17:20:26,开,开,关,37°C,25%,28,18分钟,50°C,87
9918,2014-10-30 17:20:30,开,开,关,37°C,25%,30,18分钟,50°C,87
9919,2014-10-30 17:20:50,开,开,关,37°C,25%,28,18分钟,50°C,87
9920,2014-10-30 17:20:56,开,开,关,37°C,25%,28,17分钟,50°C,87
9921,2014-10-30 17:20:58,开,开,关,37°C,25%,30,17分钟,50°C,87
9922,2014-10-30 17:21:19,开,开,关,37°C,25%,28,17分钟,50°C,87
9923,2014-10-30 17:21:21,开,开,关,37°C,25%,27,17分钟,50°C,87
9924,2014-10-30 17:21:29,开,开,关,36°C,0%,30,19分钟,50°C,87
9925,2014-10-30 17:22:01,开,开,关,36°C,0%,28,19分钟,50°C,87
9926,2014-10-30 17:22:03,开,开,关,35°C,0%,28,21分钟,50°C,87
9927,2014-10-30 17:22:07,开,开,关,35°C,0%,30,21分钟,50°C,87
9928,2014-10-30 17:22:17,开,开,关,35°C,0%,28,21分钟,50°C,87
9929,2014-10-30 17:22:21,开,开,关,35°C,0%,28,20分钟,50°C,87
9930,2014-10-30 17:22:23,开,开,关,35°C,0%,30,20分钟,50°C,87
9931,2014-10-30 17:22:25,开,开,关,35°C,0%,27,20分钟,50°C,87
9932,2014-10-30 17:22:27,开,开,关,35°C,0%,28,20分钟,50°C,87
9933,2014-10-30 17:22:29,开,开,关,35°C,0%,27,20分钟,50°C,87
9934,2014-10-30 17:22:37,开,开,关,35°C,0%,28,20分钟,50°C,87
9935,2014-10-30 17:22:39,开,开,关,34°C,0%,20,22分钟,50°C,87
9936,2014-10-30 17:22:43,开,开,关,34°C,0%,13,22分钟,50°C,87
9937,2014-10-30 17:22:45,开,开,关,34°C,0%,15,22分钟,50°C,87
9938,2014-10-30 17:22:47,开,开,关,34°C,0%,16,22分钟,50°C,87
9939,2014-10-30 17:22:53,开,开,关,34°C,0%,17,22分钟,50°C,87
9940,2014-10-30 17:22:56,开,开,关,34°C,0%,21,22分钟,50°C,87
9941,2014-10-30 17:23:04,开,开,关,34°C,0%,22,22分钟,50°C,87
9942,2014-10-30 17:23:06,开,开,关,34°C,0%,21,22分钟,50°C,87
9943,2014-10-30 17:23:08,开,开,关,34°C,0%,22,22分钟,50°C,87
9944,2014-10-30 17:23:10,开,开,关,34°C,0%,16,22分钟,50°C,87
9945,2014-10-30 17:23:12,开,开,关,34°C,0%,18,22分钟,50°C,87
9946,2014-10-30 17:23:16,开,开,关,34°C,0%,17,22分钟,50°C,87
9947,2014-10-30 17:23:20,开,开,关,34°C,0%,18,22分钟,50°C,87
9948,2014-10-30 17:23:22,开,开,关,34°C,0%,17,21分钟,50°C,87
9949,2014-10-30 17:23:32,开,开,关,34°C,0%,22,21分钟,50°C,87
9950,2014-10-30 17:23:34,开,开,关,33°C,0%,22,24分钟,50°C,87
9951,2014-10-30 17:23:36,开,开,关,33°C,0%,23,24分钟,50°C,87
9952,2014-10-30 17:23:38,开,开,关,33°C,0%,22,24分钟,50°C,87
9953,2014-10-30 17:23:42,开,开,关,33°C,0%,23,23分钟,50°C,87
9954,2014-10-30 17:23:49,开,开,关,33°C,0%,22,23分钟,50°C,87
9955,2014-10-30 17:23:50,开,开,关,33°C,0%,23,23分钟,50°C,87
9956,2014-10-30 17:23:56,开,开,关,33°C,0%,22,23分钟,50°C,87
9957,2014-10-30 17:23:58,开,开,关,33°C,0%,23,23分钟,50°C,87
9958,2014-10-30 17:24:02,开,开,关,33°C,0%,22,23分钟,50°C,87
9959,2014-10-30 17:24:04,开,开,关,33°C,0%,23,23分钟,50°C,87
9960,2014-10-30 17:24:10,开,开,关,33°C,0%,22,23分钟,50°C,87
9961,2014-10-30 17:24:12,开,开,关,33°C,0%,23,23分钟,50°C,87
9962,2014-10-30 17:24:18,开,开,关,33°C,0%,21,23分钟,50°C,87
9963,2014-10-30 17:24:20,开,开,关,33°C,0%,22,23分钟,50°C,87
9964,2014-10-30 17:24:33,开,开,关,33°C,0%,21,23分钟,50°C,87
9965,2014-10-30 17:24:45,开,开,关,32°C,0%,21,25分钟,50°C,87
9966,2014-10-30 17:24:47,开,开,关,32°C,0%,22,25分钟,50°C,87
9967,2014-10-30 17:25:03,开,开,关,32°C,0%,21,25分钟,50°C,87
9968,2014-10-30 17:25:05,开,开,关,32°C,0%,23,25分钟,50°C,87
9969,2014-10-30 17:25:19,开,开,关,32°C,0%,22,24分钟,50°C,87
9970,2014-10-30 17:25:21,开,开,关,32°C,0%,23,24分钟,50°C,87
9971,2014-10-30 17:25:25,开,开,关,32°C,0%,22,24分钟,50°C,87
9972,2014-10-30 17:25:27,开,开,关,32°C,0%,23,24分钟,50°C,87
9973,2014-10-30 17:25:29,开,开,关,32°C,0%,15,24分钟,50°C,87
9992,2014-10-30 17:34:44,开,开,关,41°C,0%,53,12分钟,50°C,88
9993,2014-10-30 17:34:50,开,开,关,41°C,0%,46,12分钟,50°C,88
9994,2014-10-30 17:34:53,开,开,关,41°C,0%,47,12分钟,50°C,88
9995,2014-10-30 17:34:55,开,开,关,41°C,0%,46,12分钟,50°C,88
9996,2014-10-30 17:34:57,开,开,关,41°C,0%,47,12分钟,50°C,88
9997,2014-10-30 17:35:01,开,开,关,41°C,0%,46,12分钟,50°C,88
9998,2014-10-30 17:35:05,开,开,关,41°C,0%,46,11分钟,50°C,88
9999,2014-10-30 17:35:07,开,开,关,41°C,0%,41,11分钟,50°C,88
10000,2014-10-30 17:35:09,开,开,关,41°C,0%,38,11分钟,50°C,88
10001,2014-10-30 17:35:11,开,开,关,41°C,0%,36,11分钟,50°C,88
10002,2014-10-30 17:35:19,开,开,关,41°C,0%,35,11分钟,50°C,88
10003,2014-10-30 17:35:21,开,开,关,41°C,0%,36,11分钟,50°C,88
10004,2014-10-30 17:35:29,开,开,关,41°C,0%,35,11分钟,50°C,88
10005,2014-10-30 17:35:35,开,开,关,41°C,0%,36,11分钟,50°C,88
10006,2014-10-30 17:35:39,开,开,关,42°C,0%,36,11分钟,50°C,88
10007,2014-10-30 17:35:47,开,开,关,41°C,0%,35,12分钟,50°C,88
10008,2014-10-30 17:35:49,开,开,关,41°C,0%,36,12分钟,50°C,88
10009,2014-10-30 17:35:51,开,开,关,41°C,0%,37,12分钟,50°C,88
10010,2014-10-30 17:35:59,开,开,关,42°C,0%,36,11分钟,50°C,88
10011,2014-10-30 17:36:03,开,开,关,42°C,0%,35,11分钟,50°C,88
10012,2014-10-30 17:36:07,开,开,关,42°C,0%,36,11分钟,50°C,88
10013,2014-10-30 17:36:09,开,开,关,42°C,0%,35,11分钟,50°C,88
10014,2014-10-30 17:36:13,开,开,关,42°C,0%,36,11分钟,50°C,88
10015,2014-10-30 17:36:15,开,开,关,42°C,0%,37,10分钟,50°C,88
10016,2014-10-30 17:36:19,开,开,关,42°C,0%,36,10分钟,50°C,88
10017,2014-10-30 17:36:23,开,开,关,42°C,0%,35,10分钟,50°C,88
10018,2014-10-30 17:36:25,开,开,关,42°C,0%,36,10分钟,50°C,88
10019,2014-10-30 17:36:27,开,开,关,42°C,0%,35,10分钟,50°C,88
10020,2014-10-30 17:36:32,开,开,关,42°C,0%,36,10分钟,50°C,88
10021,2014-10-30 17:36:36,开,开,关,42°C,0%,35,10分钟,50°C,88
10022,2014-10-30 17:36:46,开,开,关,42°C,0%,36,10分钟,50°C,88
10023,2014-10-30 17:36:48,开,开,关,42°C,0%,35,10分钟,50°C,88
10024,2014-10-30 17:36:50,开,开,关,42°C,0%,36,10分钟,50°C,88
10025,2014-10-30 17:36:54,开,开,关,42°C,0%,35,10分钟,50°C,88
10026,2014-10-30 17:37:00,开,开,关,42°C,0%,36,10分钟,50°C,88
10027,2014-10-30 17:37:02,开,开,关,42°C,0%,35,10分钟,50°C,88
10028,2014-10-30 17:37:04,开,开,关,42°C,0%,37,10分钟,50°C,88
10029,2014-10-30 17:37:08,开,开,关,42°C,0%,35,10分钟,50°C,88
10030,2014-10-30 17:37:12,开,开,关,42°C,0%,36,10分钟,50°C,88
10031,2014-10-30 17:37:14,开,开,关,42°C,0%,35,10分钟,50°C,88
10032,2014-10-30 17:37:16,开,开,关,42°C,0%,35,9分钟,50°C,88
10033,2014-10-30 17:37:20,开,开,关,42°C,0%,36,9分钟,50°C,88
10034,2014-10-30 17:37:22,开,开,关,42°C,0%,35,9分钟,50°C,88
10035,2014-10-30 17:37:24,开,开,关,42°C,0%,36,9分钟,50°C,88
10036,2014-10-30 17:37:28,开,开,关,42°C,0%,35,9分钟,50°C,88
10037,2014-10-30 17:37:30,开,开,关,42°C,0%,36,9分钟,50°C,88
10038,2014-10-30 17:37:32,开,开,关,42°C,0%,35,9分钟,50°C,88
10039,2014-10-30 17:37:34,开,开,关,42°C,0%,36,9分钟,50°C,88
10040,2014-10-30 17:37:36,开,开,关,42°C,0%,35,9分钟,50°C,88
10041,2014-10-30 17:37:40,开,开,关,42°C,0%,36,9分钟,50°C,88
10042,2014-10-30 17:37:42,开,开,关,42°C,0%,37,9分钟,50°C,88
10043,2014-10-30 17:37:46,开,开,关,42°C,0%,36,9分钟,50°C,88
10044,2014-10-30 17:37:48,开,开,关,42°C,0%,31,9分钟,50°C,88
10045,2014-10-30 17:37:50,开,开,关,42°C,0%,37,9分钟,50°C,88
10046,2014-10-30 17:37:56,开,开,关,42°C,0%,36,9分钟,50°C,88
10047,2014-10-30 17:37:58,开,开,关,42°C,0%,37,9分钟,50°C,88
10048,2014-10-30 17:38:02,开,开,关,42°C,0%,36,9分钟,50°C,88
10049,2014-10-30 17:38:04,开,开,关,42°C,0%,37,9分钟,50°C,88
10050,2014-10-30 17:38:08,开,开,关,42°C,0%,36,9分钟,50°C,88
10051,2014-10-30 17:38:10,开,开,关,42°C,0%,37,9分钟,50°C,88
10052,2014-10-30 17:38:12,开,开,关,42°C,0%,36,9分钟,50°C,88
10053,2014-10-30 17:38:15,开,开,关,42°C,0%,37,9分钟,50°C,88
10054,2014-10-30 17:38:21,开,开,关,42°C,0%,36,8分钟,50°C,88
10055,2014-10-30 17:38:23,开,开,关,42°C,0%,37,8分钟,50°C,88
10056,2014-10-30 17:38:25,开,开,关,42°C,0%,35,8分钟,50°C,88
10057,2014-10-30 17:38:27,开,开,关,42°C,0%,37,8分钟,50°C,88
10058,2014-10-30 17:38:37,开,开,关,42°C,0%,36,8分钟,50°C,88
10059,2014-10-30 17:38:39,开,开,关,42°C,0%,37,8分钟,50°C,88
10060,2014-10-30 17:38:41,开,开,关,42°C,0%,36,8分钟,50°C,88
10061,2014-10-30 17:38:43,开,开,关,42°C,0%,37,8分钟,50°C,88
10062,2014-10-30 17:38:45,开,开,关,42°C,0%,36,8分钟,50°C,88
10063,2014-10-30 17:38:47,开,开,关,42°C,0%,35,8分钟,50°C,88
10064,2014-10-30 17:38:49,开,开,关,42°C,0%,33,8分钟,50°C,88
10065,2014-10-30 17:38:53,开,开,关,42°C,0%,35,8分钟,50°C,88
10066,2014-10-30 17:38:55,开,开,关,42°C,0%,33,8分钟,50°C,88
10067,2014-10-30 17:38:57,开,开,关,42°C,0%,36,8分钟,50°C,88
10068,2014-10-30 17:39:05,开,开,关,42°C,0%,35,8分钟,50°C,88
10069,2014-10-30 17:39:07,开,开,关,41°C,0%,35,12分钟,50°C,88
10070,2014-10-30 17:39:11,开,开,关,41°C,0%,36,12分钟,50°C,88
10071,2014-10-30 17:39:17,开,开,关,42°C,0%,37,11分钟,50°C,88
10072,2014-10-30 17:39:19,开,开,关,41°C,0%,36,12分钟,50°C,88
10073,2014-10-30 17:39:21,开,开,关,41°C,0%,37,12分钟,50°C,88
10074,2014-10-30 17:39:25,开,开,关,41°C,0%,36,12分钟,50°C,88
10075,2014-10-30 17:39:27,开,开,关,41°C,0%,37,12分钟,50°C,88
10076,2014-10-30 17:39:37,开,开,关,41°C,0%,36,12分钟,50°C,88
10077,2014-10-30 17:39:39,开,开,关,41°C,0%,37,12分钟,50°C,88
10078,2014-10-30 17:39:43,开,开,关,41°C,0%,36,12分钟,50°C,88
10079,2014-10-30 17:39:45,开,开,关,41°C,0%,37,12分钟,50°C,88
10080,2014-10-30 17:39:53,开,开,关,41°C,0%,36,12分钟,50°C,88
10081,2014-10-30 17:39:58,开,开,关,41°C,0%,37,12分钟,50°C,88
10082,2014-10-30 17:40:02,开,开,关,41°C,0%,36,12分钟,50°C,88
10083,2014-10-30 17:40:04,开,开,关,41°C,0%,37,12分钟,50°C,88
10084,2014-10-30 17:40:08,开,开,关,41°C,0%,36,11分钟,50°C,88
10085,2014-10-30 17:40:10,开,开,关,41°C,0%,37,11分钟,50°C,88
10086,2014-10-30 17:40:12,开,开,关,41°C,0%,36,11分钟,50°C,88
10087,2014-10-30 17:40:18,开,开,关,41°C,0%,37,11分钟,50°C,88
10088,2014-10-30 17:40:20,开,开,关,41°C,0%,36,11分钟,50°C,88
10201,2014-10-30 19:04:29,开,关,开,49°C,50%,8,0分钟,50°C,89
10213,2014-10-30 19:09:48,开,关,开,49°C,50%,10,0分钟,50°C,90
10217,2014-10-30 20:14:05,关,关,关,49°C,50%,8,0分钟,50°C,91
10240,2014-10-30 20:21:59,关,关,关,48°C,50%,63,0分钟,50°C,92
10241,2014-10-30 20:22:18,关,关,关,48°C,50%,61,0分钟,50°C,92
10242,2014-10-30 20:22:27,关,关,关,48°C,50%,51,0分钟,50°C,92
10244,2014-10-30 20:23:14,关,关,关,48°C,50%,10,0分钟,50°C,92
10245,2014-10-30 20:23:16,关,关,关,48°C,50%,48,0分钟,50°C,92
10246,2014-10-30 20:23:18,关,关,关,48°C,50%,50,0分钟,50°C,92
10247,2014-10-30 20:23:20,关,关,关,48°C,50%,48,0分钟,50°C,92
10248,2014-10-30 20:23:24,关,关,关,48°C,50%,50,0分钟,50°C,92
10249,2014-10-30 20:23:26,关,关,关,48°C,50%,31,0分钟,50°C,92
10250,2014-10-30 20:23:28,关,关,关,48°C,50%,32,0分钟,50°C,92
10251,2014-10-30 20:23:30,关,关,关,48°C,50%,30,0分钟,50°C,92
10252,2014-10-30 20:23:40,关,关,关,48°C,50%,31,0分钟,50°C,92
10253,2014-10-30 20:23:42,关,关,关,48°C,50%,32,0分钟,50°C,92
10254,2014-10-30 20:23:51,关,关,关,48°C,50%,30,0分钟,50°C,92
10255,2014-10-30 20:24:03,关,关,关,48°C,50%,28,0分钟,50°C,92
10256,2014-10-30 20:24:05,关,关,关,48°C,50%,30,0分钟,50°C,92
10257,2014-10-30 20:24:09,关,关,关,48°C,50%,28,0分钟,50°C,92
10258,2014-10-30 20:24:11,关,关,关,48°C,50%,30,0分钟,50°C,92
10259,2014-10-30 20:24:13,关,关,关,48°C,50%,28,0分钟,50°C,92
10260,2014-10-30 20:24:23,关,关,关,48°C,50%,30,0分钟,50°C,92
10261,2014-10-30 20:24:29,关,关,关,48°C,50%,28,0分钟,50°C,92
10262,2014-10-30 20:24:31,关,关,关,48°C,50%,27,0分钟,50°C,92
10263,2014-10-30 20:24:33,关,关,关,48°C,50%,26,0分钟,50°C,92
10264,2014-10-30 20:24:35,关,关,关,48°C,50%,27,0分钟,50°C,92
10265,2014-10-30 20:24:39,关,关,关,48°C,50%,26,0分钟,50°C,92
10266,2014-10-30 20:24:41,关,关,关,48°C,50%,27,0分钟,50°C,92
10267,2014-10-30 20:24:49,关,关,关,48°C,50%,26,0分钟,50°C,92
10268,2014-10-30 20:24:51,关,关,关,48°C,50%,27,0分钟,50°C,92
10269,2014-10-30 20:24:53,关,关,关,48°C,50%,25,0分钟,50°C,92
10270,2014-10-30 20:24:55,关,关,关,48°C,50%,23,0分钟,50°C,92
10271,2014-10-30 20:24:57,关,关,关,48°C,50%,28,0分钟,50°C,92
10272,2014-10-30 20:24:59,关,关,关,48°C,50%,27,0分钟,50°C,92
10273,2014-10-30 20:25:01,关,关,关,48°C,50%,26,0分钟,50°C,92
10274,2014-10-30 20:25:03,关,关,关,48°C,50%,27,0分钟,50°C,92
10275,2014-10-30 20:25:05,关,关,关,48°C,50%,26,0分钟,50°C,92
10276,2014-10-30 20:25:07,关,关,关,48°C,50%,27,0分钟,50°C,92
10277,2014-10-30 20:25:09,关,关,关,48°C,50%,26,0分钟,50°C,92
10278,2014-10-30 20:25:15,关,关,关,48°C,50%,27,0分钟,50°C,92
10279,2014-10-30 20:25:23,关,关,关,48°C,50%,26,0分钟,50°C,92
10280,2014-10-30 20:25:27,关,关,关,47°C,50%,26,0分钟,50°C,92
10281,2014-10-30 20:25:29,关,关,关,47°C,50%,27,0分钟,50°C,92
10282,2014-10-30 20:25:36,关,关,关,48°C,50%,27,0分钟,50°C,92
10283,2014-10-30 20:25:40,关,关,关,47°C,50%,27,0分钟,50°C,92
10284,2014-10-30 20:25:42,关,关,关,47°C,50%,26,0分钟,50°C,92
10285,2014-10-30 20:25:52,关,关,关,47°C,50%,27,0分钟,50°C,92
10286,2014-10-30 20:25:54,关,关,关,47°C,50%,26,0分钟,50°C,92
10287,2014-10-30 20:26:00,关,关,关,47°C,50%,27,0分钟,50°C,92
10288,2014-10-30 20:26:02,关,关,关,47°C,50%,26,0分钟,50°C,92
10289,2014-10-30 20:26:06,关,关,关,47°C,50%,27,0分钟,50°C,92
10290,2014-10-30 20:26:08,关,关,关,47°C,50%,26,0分钟,50°C,92
10291,2014-10-30 20:26:10,关,关,关,47°C,50%,27,0分钟,50°C,92
10292,2014-10-30 20:26:16,关,关,关,47°C,50%,26,0分钟,50°C,92
10293,2014-10-30 20:26:20,关,关,关,47°C,50%,27,0分钟,50°C,92
10294,2014-10-30 20:26:22,关,关,关,47°C,50%,26,0分钟,50°C,92
10295,2014-10-30 20:26:36,关,关,关,47°C,50%,27,0分钟,50°C,92
10296,2014-10-30 20:26:38,关,关,关,47°C,50%,26,0分钟,50°C,92
10297,2014-10-30 20:26:42,关,关,关,47°C,50%,27,0分钟,50°C,92
10298,2014-10-30 20:26:46,关,关,关,47°C,50%,26,0分钟,50°C,92
10299,2014-10-30 20:26:48,关,关,关,47°C,50%,27,0分钟,50°C,92
10300,2014-10-30 20:26:50,关,关,关,47°C,50%,26,0分钟,50°C,92
10301,2014-10-30 20:26:52,关,关,关,47°C,50%,27,0分钟,50°C,92
10302,2014-10-30 20:27:09,关,关,关,47°C,50%,27,0分钟,50°C,92
10303,2014-10-30 20:27:10,关,关,关,47°C,50%,26,0分钟,50°C,92
10304,2014-10-30 20:27:15,关,关,关,47°C,50%,27,0分钟,50°C,92
10305,2014-10-30 20:27:29,关,关,关,47°C,50%,26,0分钟,50°C,92
10306,2014-10-30 20:27:31,关,关,关,47°C,50%,27,0分钟,50°C,92
10307,2014-10-30 20:27:33,关,关,关,47°C,50%,26,0分钟,50°C,92
10308,2014-10-30 20:27:37,关,关,关,47°C,50%,27,0分钟,50°C,92
10309,2014-10-30 20:27:39,关,关,关,47°C,50%,26,0分钟,50°C,92
10310,2014-10-30 20:27:45,关,关,关,47°C,50%,27,0分钟,50°C,92
10311,2014-10-30 20:27:47,关,关,关,47°C,50%,21,0分钟,50°C,92
10329,2014-10-30 21:31:15,关,关,关,44°C,25%,12,0分钟,50°C,93
10330,2014-10-30 21:31:19,关,关,关,44°C,25%,13,0分钟,50°C,93
10331,2014-10-30 21:31:25,关,关,关,44°C,25%,15,0分钟,50°C,93
10332,2014-10-30 21:31:29,关,关,关,44°C,25%,16,0分钟,50°C,93
10333,2014-10-30 21:31:31,关,关,关,44°C,25%,15,0分钟,50°C,93
10334,2014-10-30 21:31:37,关,关,关,44°C,25%,16,0分钟,50°C,93
10335,2014-10-30 21:31:41,关,关,关,44°C,25%,15,0分钟,50°C,93
10336,2014-10-30 21:31:43,关,关,关,44°C,25%,16,0分钟,50°C,93
10337,2014-10-30 21:31:45,关,关,关,44°C,25%,15,0分钟,50°C,93
10338,2014-10-30 21:31:47,关,关,关,44°C,25%,16,0分钟,50°C,93
10339,2014-10-30 21:31:53,关,关,关,44°C,25%,15,0分钟,50°C,93
10340,2014-10-30 21:31:57,关,关,关,44°C,25%,16,0分钟,50°C,93
10341,2014-10-30 21:31:59,关,关,关,44°C,25%,15,0分钟,50°C,93
10342,2014-10-30 21:32:03,关,关,关,44°C,25%,16,0分钟,50°C,93
10343,2014-10-30 21:32:05,关,关,关,44°C,25%,15,0分钟,50°C,93
10344,2014-10-30 21:32:09,关,关,关,44°C,25%,16,0分钟,50°C,93
10345,2014-10-30 21:32:17,关,关,关,44°C,25%,15,0分钟,50°C,93
10346,2014-10-30 21:32:45,关,关,关,44°C,25%,16,0分钟,50°C,93
10347,2014-10-30 21:32:47,关,关,关,44°C,25%,15,0分钟,50°C,93
10348,2014-10-30 21:33:16,关,关,关,44°C,25%,16,0分钟,50°C,93
10349,2014-10-30 21:33:18,关,关,关,44°C,25%,15,0分钟,50°C,93
10350,2014-10-30 21:33:20,关,关,关,43°C,25%,16,0分钟,50°C,93
10351,2014-10-30 21:33:22,关,关,关,43°C,25%,15,0分钟,50°C,93
10352,2014-10-30 21:33:26,关,关,关,43°C,25%,16,0分钟,50°C,93
10353,2014-10-30 21:33:30,关,关,关,43°C,25%,13,0分钟,50°C,93
10354,2014-10-30 21:33:32,关,关,关,43°C,25%,17,0分钟,50°C,93
10355,2014-10-30 21:33:34,关,关,关,43°C,25%,16,0分钟,50°C,93
10356,2014-10-30 21:33:36,关,关,关,43°C,25%,17,0分钟,50°C,93
10357,2014-10-30 21:33:38,关,关,关,43°C,25%,16,0分钟,50°C,93
10358,2014-10-30 21:33:40,关,关,关,43°C,25%,17,0分钟,50°C,93
10359,2014-10-30 21:33:44,关,关,关,43°C,25%,16,0分钟,50°C,93
10360,2014-10-30 21:33:46,关,关,关,43°C,25%,17,0分钟,50°C,93
10361,2014-10-30 21:33:56,关,关,关,43°C,25%,16,0分钟,50°C,93
10362,2014-10-30 21:34:04,关,关,关,43°C,25%,17,0分钟,50°C,93
10363,2014-10-30 21:34:14,关,关,关,43°C,25%,16,0分钟,50°C,93
10364,2014-10-30 21:34:22,关,关,关,43°C,25%,17,0分钟,50°C,93
10365,2014-10-30 21:34:24,关,关,关,43°C,25%,15,0分钟,50°C,93
10375,2014-10-30 21:59:34,关,关,关,41°C,25%,8,0分钟,50°C,94
